	GSM2358163	GSM2358164	GSM2358165	GSM2358166	GSM2358167	GSM2358168	GSM2358169	GSM2358170	GSM2358171	GSM2358172	GSM2358173	GSM2358174	GSM2358175	GSM2358176	GSM2358177	GSM2358178	GSM2358179
ENSG00000280880	11	16	1	4	7	6	0	0	0	0	0	0	0	0	0	9	1
ENSG00000280881	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD24	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ELDR	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0
ENSG00000280891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280893	8	3	0	28	36	33	8	25	4	37	0	21	19	8	1	7	12
SNORA50D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KMT5AP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000280898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10A6	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
ENSG00000280904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CYP2D6	2	0	9	8	29	48	84	89	60	168	293	147	0	3	0	1	18
ENSG00000280906	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ZNF197-AS1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0
PADI4	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
SDHAP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SDHAP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CTSLP3	15	22	11	5	9	10	18	10	22	19	22	27	17	12	18	16	9
FOXCUT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280917	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000280920	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LINC00628	0	2	0	0	2	3	0	1	0	2	0	2	4	1	1	2	0
ENSG00000280926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTBP1-AS	15	21	12	13	15	12	12	13	31	31	19	26	20	12	6	8	10
ENSG00000280928	1	1	0	1	0	0	1	2	3	4	3	1	2	3	0	1	3
ENSG00000280929	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000280930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR13P5	0	0	0	2	1	0	1	0	0	0	0	1	1	2	0	1	0
FABP5P13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BPNT2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRARG1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
ENSG00000280939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGLVI-38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280944	9	4	8	15	15	19	6	6	16	21	26	26	7	6	3	12	13
ENSG00000280946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR1976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PADI6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SURF4	3886	3253	2909	3342	3415	4312	2650	2280	2437	3251	3458	3657	4956	3681	4075	4248	3927
LINC01163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR7E157P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTTY3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP16	1228	1080	1009	1732	1714	2056	1259	1108	797	1426	1515	1529	1473	1180	937	1387	1234
SERTAD4-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS11-DT	0	1	0	0	1	1	2	0	2	1	0	1	2	1	3	0	0
ENSG00000280968	5	0	0	1	0	0	5	2	0	3	6	5	0	0	0	1	0
RPS4Y2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280971	0	1	0	0	0	0	1	2	0	0	2	0	0	1	1	0	0
ENSG00000280972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENATAC	96	89	40	62	45	77	83	89	184	132	162	135	74	63	46	55	49
CEP72-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280983	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000280984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01659	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
ENSG00000280987	347	286	259	219	144	435	391	216	118	162	364	215	372	298	169	270	257
LINC00581	0	0	1	0	0	0	0	3	0	1	0	0	4	1	0	1	4
ENSG00000280991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUC20-OT1	135	105	76	117	90	123	96	155	290	218	228	232	93	91	43	63	101
ENSG00000280994	8	1	3	2	2	0	4	5	1	4	7	9	10	9	11	5	10
ENSG00000280996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCAT2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
SNORD3D	1	1	0	1	0	0	2	0	0	0	1	7	1	1	3	2	2
CYP2D8P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00921	3	2	2	8	8	20	3	2	2	2	5	8	5	10	6	5	4
ENSG00000281009	3	0	3	2	0	0	0	0	0	0	0	0	2	0	1	0	1
ENSG00000281010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFA6	1254	1093	1053	1015	947	986	398	218	512	342	319	655	631	401	470	574	591
ENSG00000281015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281016	0	0	1	0	0	3	0	0	1	0	0	3	0	0	0	0	0
LINC02982	8	6	3	5	4	15	0	1	6	1	5	4	7	10	14	9	7
SNTG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281021	0	0	0	0	0	0	0	0	1	2	0	1	1	2	0	0	1
MED22	182	112	116	131	138	185	100	97	81	147	141	164	120	86	102	149	147
SURF2	52	34	41	36	35	64	33	21	30	47	25	43	31	22	29	39	36
N4BP2L2-IT2	18	17	16	10	14	22	34	25	50	45	74	61	17	12	7	27	22
ENSG00000281029	1	1	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0
IGLV3-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM181A-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR8U9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281039	5	1	0	0	0	0	1	0	0	2	6	0	0	0	0	0	8
FAM90A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281048	5	0	3	3	2	6	3	4	6	2	5	3	4	2	3	8	3
KRT18P53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL23AP66	1	1	0	2	1	0	2	3	1	1	2	0	1	2	4	1	0
ENSG00000281053	0	0	0	2	1	0	3	9	8	0	5	5	0	0	1	0	1
ENSG00000281054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGLV2-34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5E1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUC20-OT1	53	58	27	42	38	49	58	59	74	93	107	130	38	41	44	43	39
ENSG00000281062	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ENSG00000281065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST13P19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGLVVII-41-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZDHHC8P1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1
LINC02557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKV1D-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281081	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000281082	1	0	1	0	0	0	1	1	1	1	0	1	1	3	0	0	0
IGSF3P1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2
ENSG00000281086	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0
ENSG00000281087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATG16L1	345	293	291	328	299	388	399	348	375	405	453	475	436	318	328	411	362
ENSG00000281091	1	1	5	3	4	0	1	1	2	3	7	0	7	2	2	2	1
RN7SL679P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCF4-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281094	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	0
ENSG00000281095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281099	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000281102	2	2	0	2	2	0	0	0	2	0	1	2	2	0	0	2	2
TRG-AS1	0	3	5	3	7	0	6	7	15	9	17	10	0	8	11	7	8
ENSG00000281104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM272	10	6	3	1	1	1	8	6	15	4	5	0	11	7	2	4	1
OR5G3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281111	7	48	20	5	8	32	8	15	24	23	32	31	5	10	5	0	14
ENSG00000281112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7AP55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAD2L1-DT	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1
FCGBP	32	32	4	4	10	0	16	18	0	0	0	0	64	54	36	0	4
ENSG00000281127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTENP1-AS	1	2	1	1	0	0	1	0	3	1	2	0	3	3	3	0	1
SCHLAP1	0	5	2	3	6	0	8	6	1	6	0	8	3	2	1	4	1
ENSG00000281133	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
STH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYB5AP3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGLV5-45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281149	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FAM90A21P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNQ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281154	1	2	3	0	2	4	1	1	2	0	1	1	1	1	2	3	3
MIR3651	0	0	0	0	0	0	0	1	0	1	1	0	1	0	2	0	0
ARHGEF26-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01127	102	83	79	84	78	76	74	48	36	34	65	49	48	34	54	88	61
ENSG00000281163	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
SLC2A6	61	42	33	72	103	132	34	55	56	229	143	244	32	29	30	120	126
NLRP10	1	3	2	0	0	1	1	1	2	1	2	1	1	4	2	1	1
ENSG00000281167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281175	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
KRTAP5-AS1	2	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MLXIP	0	0	4	6	0	138	0	0	0	0	0	0	0	2	0	0	0
ENSG00000281179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281180	8	10	4	3	2	8	5	7	12	11	10	17	8	10	4	7	4
ENSG00000281181	3096	3107	2730	2427	2934	2273	1555	1298	1073	1760	1673	2258	3654	1767	2267	4487	3534
NPTN-IT1	21	16	10	16	7	16	15	13	28	32	21	23	18	12	13	13	14
PSMB1	2	1	1	0	0	0	3	0	4	1	2	1	7	3	0	2	0
GPX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00706	2	0	1	2	0	0	2	3	3	1	1	3	1	2	1	0	1
ENSG00000281188	1	3	1	0	0	0	1	2	3	0	2	2	1	3	2	0	0
GHET1	5	12	7	7	7	2	7	8	6	10	8	12	12	7	7	11	10
KRTAP5-3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281195	14	8	4	9	2	0	6	6	15	12	12	25	3	3	1	7	4
LINC00934	0	1	2	2	0	0	0	1	0	0	1	1	0	2	1	0	0
TNFRSF14-AS1	38	20	19	46	35	48	20	46	41	73	48	70	26	34	44	47	30
ENSG00000281198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLFNL1-AS1	33	47	28	25	9	15	39	57	54	41	46	24	35	24	26	15	16
LONRF2P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTBP2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01238	1	0	0	1	0	2	0	0	3	1	5	3	0	0	0	0	0
KIF26B	0	1	9	0	0	0	0	2	0	0	51	0	2	9	0	1	8
LINC00254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMC4	584	505	450	570	538	769	368	359	380	532	535	640	719	556	620	632	550
ENSG00000281225	2	0	0	0	0	0	0	0	1	4	0	2	0	0	0	0	0
LINC02783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281229	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SERTAD4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000281232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281233	1	4	2	2	2	2	1	3	2	3	2	2	6	8	3	2	1
LOH12CR2	11	10	8	5	9	12	15	7	7	10	5	10	16	14	10	6	6
SDHAP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LINC02708	8	2	1	0	2	7	9	11	10	12	19	7	7	2	8	5	5
SNORD36B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS13	35	25	18	18	14	21	28	45	25	24	26	21	27	21	19	19	24
STKLD1	9	6	3	1	3	0	6	4	5	1	4	3	9	10	5	1	4
ENSG00000281246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281249	5	6	2	4	5	4	8	4	11	12	15	10	8	7	6	10	6
LINC02054	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0
ENSG00000281251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM230C	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000281254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM99A	116	121	84	89	58	106	197	296	140	1022	972	1165	49	29	59	447	485
ENSG00000281263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SALRNA3	2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0
ENSG00000281265	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0
ENSG00000281266	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0
ENSG00000281268	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281269	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
LINC02536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281274	1	0	1	0	0	0	0	0	0	2	2	2	0	0	0	0	0
GSTT3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5G4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK8IP1P1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MAPT-IT1	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	1	0
ENSG00000281287	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
LSS	544	499	439	607	250	427	406	372	1469	592	697	559	111	244	212	412	381
ENSG00000281292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281296	4	4	0	2	0	1	2	0	3	1	1	1	2	3	0	0	1
NXN	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LINC00574	11	25	0	18	0	0	22	0	0	6	0	0	0	9	28	13	27
ZNF35	32	26	22	19	28	21	18	11	20	11	13	17	19	16	14	22	15
UGT2B27P	6	6	6	22	18	14	0	0	0	4	3	13	6	0	1	8	21
SURF6	289	256	239	264	223	315	184	159	161	208	186	197	275	197	223	182	188
ENSG00000281310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5G1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPPA2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTG3-AS1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0
DYRK1B	13	13	9	29	27	59	6	14	7	50	29	61	11	5	8	46	52
LINC02197	38	65	49	46	36	65	18	36	32	29	33	32	20	16	0	47	43
LRP6	790	686	576	668	635	945	1033	878	765	596	737	738	928	836	718	696	685
ENSG00000281326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01338	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
LINC00997	26	20	9	21	24	34	25	15	26	31	37	31	36	26	17	20	22
ENSG00000281333	4	1	2	0	0	7	2	1	1	0	0	2	0	1	0	0	1
SDHAP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MIF-AS1	6	9	6	9	12	13	0	0	0	1	0	1	7	4	6	5	7
ENSG00000281336	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
HELLPAR	713	660	449	471	518	544	631	546	855	479	726	596	724	677	536	466	464
IGLV2-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NF1P9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281348	2	5	17	11	17	5	4	18	4	1	14	17	8	5	14	10	14
ENSG00000281349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUDS3P1	0	0	0	0	0	0	0	2	0	0	0	0	6	0	3	1	0
ENSG00000281354	0	0	0	1	0	3	0	1	8	1	0	0	4	3	6	0	3
GOLGA8IP	3	2	4	4	1	0	4	1	5	10	12	6	0	5	2	1	2
ARRDC3-AS1	23	12	14	8	11	12	9	7	17	20	20	17	30	27	24	9	3
RASSF1-AS1	9	5	5	3	12	7	1	1	0	2	2	5	5	2	1	5	3
ENSG00000281360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGLVI-42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281367	2	0	0	0	0	0	1	0	2	1	2	1	0	0	1	0	0
ENSG00000281369	4	3	0	1	0	1	3	2	0	3	5	0	1	2	2	0	0
INE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281374	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	2	1
ABALON	3	0	0	3	4	0	0	4	0	0	0	6	0	12	0	3	4
ENSG00000281377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEPTIN14P19	6	17	5	12	3	0	6	5	10	6	10	6	2	7	4	3	2
ENSG00000281380	17	1	0	2	4	0	23	10	28	14	0	17	22	16	11	8	3
ENSG00000281382	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000281383	6	32	13	19	32	13	21	14	0	24	0	6	33	0	20	13	18
ENSG00000281384	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0
AP2A2	652	505	387	516	470	776	78	31	60	68	88	43	265	195	188	430	291
ENSG00000281386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281387	4	4	0	2	1	4	0	0	2	0	0	1	1	1	1	1	1
SCARNA6	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0
RCC2-AS1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0
ENSG00000281392	269	213	154	230	231	242	187	117	243	209	315	327	204	186	150	172	164
ENSG00000281393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCARNA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2T7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281396	2	2	2	2	1	4	3	2	6	3	4	2	4	2	4	2	0
SNHG4	62	64	34	25	14	33	37	31	64	35	32	27	52	46	44	30	23
ENSG00000281400	18	12	5	10	8	17	18	22	58	23	31	24	8	6	10	10	6
ENSG00000281401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR6719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01176	23	21	13	18	12	8	35	24	50	22	53	45	15	14	8	22	16
BLACAT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281410	0	0	1	0	0	4	0	2	1	0	1	1	0	1	0	0	0
ENSG00000281416	6	10	3	1	4	0	6	13	9	0	6	4	10	4	6	7	5
ENSG00000281417	4	4	0	2	1	4	0	0	2	0	0	1	1	1	1	1	1
SDHAP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000281420	2	1	0	1	0	1	0	0	0	2	1	1	1	0	0	1	0
ENSG00000281422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000281424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281425	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548BB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7AP55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM20C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCN1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2D8P	0	0	1	1	1	0	1	1	0	0	1	1	2	0	0	0	2
PTMAP9	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1
ZNF502	24	19	13	8	11	17	35	30	36	26	39	35	13	5	18	17	16
BCL2L14	4	5	1	3	0	2	6	1	4	2	4	6	3	5	3	4	4
PANDAR	0	0	12	0	0	0	0	0	0	0	0	0	13	13	10	0	0
TGFB2-OT1	3	3	0	0	2	0	0	4	3	6	0	0	0	3	3	2	3
ZKSCAN7-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PADI1	0	0	0	11	5	11	0	0	0	4	6	6	0	0	0	4	3
ENSG00000281460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281468	15	5	3	8	5	6	9	7	5	4	8	3	9	9	9	7	11
ENSG00000281470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGLV5-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PISRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01955	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7AP27	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
BTG3	4	3	0	2	1	2	0	2	4	0	1	4	4	1	0	1	1
SNTG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281487	16	15	3	31	17	14	0	0	0	0	0	0	0	0	0	0	0
OR2T7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP14	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DNAJB5-DT	4	2	1	1	0	0	0	1	6	1	0	1	3	7	5	0	1
IGLV3-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU5A-8P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
